VTX, IDX, in_position.x, in_position.y, in_position.z, in_color.x, in_color.y, in_color.z, in_uv.x, in_uv.y
0, 0, 9.18355E-41, 2.80260E-45, 2.75509E-40, 4.59183E-40, 3.67350E-40, 6.42857E-40, 8.26531E-40, 7.34698E-40
1, 1, 1.01020E-39, 1.19388E-39, 1.10205E-39, 1.37755E-39, 1.56123E-39, 1.46939E-39, 1.74490E-39, 1.92857E-39
2, 2, 1.83674E-39, 2.11225E-39, -0.50, 0.00, 0.00, 1.00, 1.00, 1.00
3, 0, 9.18355E-41, 2.80260E-45, 2.75509E-40, 4.59183E-40, 3.67350E-40, 6.42857E-40, 8.26531E-40, 7.34698E-40
4, 2, 1.83674E-39, 2.11225E-39, -0.50, 0.00, 0.00, 1.00, 1.00, 1.00
5, 3, 0.50, 0.50, -0.50, 0.00, 1.00, 0.00, 1.00, 0.00
6, 4, 0.50, 0.50, 0.50, 1.00, 0.00, 0.00, 0.00, 0.00
7, 5, 0.50, -0.50, 0.50, 1.00, 0.00, 0.00, 0.00, 1.00
8, 6, -0.50, -0.50, 0.50, 0.00, 0.00, 1.00, 1.00, 1.00
9, 4, 0.50, 0.50, 0.50, 1.00, 0.00, 0.00, 0.00, 0.00
10, 6, -0.50, -0.50, 0.50, 0.00, 0.00, 1.00, 1.00, 1.00
11, 7, -0.50, 0.50, 0.50, 0.00, 1.00, 0.00, 1.00, 0.00
12, 8, -0.50, 0.50, 0.50, 1.00, 0.00, 0.00, 0.00, 0.00
13, 9, -0.50, -0.50, 0.50, 1.00, 0.00, 0.00, 0.00, 1.00
14, 10, -0.50, -0.50, -0.50, 0.00, 0.00, 1.00, 1.00, 1.00
15, 8, -0.50, 0.50, 0.50, 1.00, 0.00, 0.00, 0.00, 0.00
16, 10, -0.50, -0.50, -0.50, 0.00, 0.00, 1.00, 1.00, 1.00
17, 11, -0.50, 0.50, -0.50, 0.00, 1.00, 0.00, 1.00, 0.00
18, 12, 0.50, 0.50, -0.50, 1.00, 0.00, 0.00, 0.00, 0.00
19, 13, 0.50, -0.50, -0.50, 1.00, 0.00, 0.00, 0.00, 1.00
20, 14, 0.50, -0.50, 0.50, 0.00, 0.00, 1.00, 1.00, 1.00
21, 12, 0.50, 0.50, -0.50, 1.00, 0.00, 0.00, 0.00, 0.00
22, 14, 0.50, -0.50, 0.50, 0.00, 0.00, 1.00, 1.00, 1.00
23, 15, 0.50, 0.50, 0.50, 0.00, 1.00, 0.00, 1.00, 0.00
24, 16, -0.50, 0.50, 0.50, 1.00, 0.00, 0.00, 0.00, 0.00
25, 17, -0.50, 0.50, -0.50, 1.00, 0.00, 0.00, 0.00, 1.00
26, 18, 0.50, 0.50, -0.50, 0.00, 0.00, 1.00, 1.00, 1.00
27, 16, -0.50, 0.50, 0.50, 1.00, 0.00, 0.00, 0.00, 0.00
28, 18, 0.50, 0.50, -0.50, 0.00, 0.00, 1.00, 1.00, 1.00
29, 19, 0.50, 0.50, 0.50, 0.00, 1.00, 0.00, 1.00, 0.00
30, 20, 0.50, -0.50, 0.50, 1.00, 0.00, 0.00, 0.00, 0.00
31, 21, 0.50, -0.50, -0.50, 1.00, 0.00, 0.00, 0.00, 1.00
32, 22, -0.50, -0.50, -0.50, 0.00, 0.00, 1.00, 1.00, 1.00
33, 20, 0.50, -0.50, 0.50, 1.00, 0.00, 0.00, 0.00, 0.00
34, 22, -0.50, -0.50, -0.50, 0.00, 0.00, 1.00, 1.00, 1.00
35, 23, -0.50, -0.50, 0.50, 0.00, 1.00, 0.00, 1.00, 0.00
